Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Attack_Type,Malicious_Prob,Trans_Rate,PDR,Delay,Energy,Path_Selected,Packet_Loss,Anomaly_Score,Label
N34,0.627,0.603,0.615,Sybil Attack,0.288,35,92.84,43.7,2.066,P2->P14->P30,55.08,0.31,0
N105,0.351,0.849,0.6,Sybil Attack,0.721,53,53.18,27.45,0.537,P5->P18->P30,25.24,0.246,1
N166,0.226,0.987,0.606,Sybil Attack,0.455,31,97.19,17.76,2.265,P2->P19->P21,45.45,0.604,0
N44,0.227,0.899,0.563,Sybil Attack,0.256,17,74.63,45.47,4.505,P9->P16->P21,57.93,0.383,0
N191,0.39,0.93,0.66,Normal,0.649,65,65.3,47.68,4.861,P10->P13->P23,50.25,0.637,0
N113,0.815,0.352,0.583,Sybil Attack,0.327,69,72.9,48.76,0.521,P9->P15->P28,44.07,0.904,0
N164,0.632,0.314,0.473,Sybil Attack,0.55,70,52.27,10.77,2,P2->P12->P22,58.92,0.333,1
N48,0.368,0.877,0.622,Normal,0.383,22,99.02,45.15,1.399,P2->P18->P28,31.45,0.214,0
N81,0.498,0.519,0.508,Sybil Attack,0.902,42,83.44,48.57,2.441,P10->P19->P30,28.71,0.148,1
N168,0.383,0.639,0.511,Normal,0.166,96,98.18,21.91,3.323,P10->P17->P26,41.57,0.557,0
N38,0.743,0.623,0.683,Sybil Attack,0.076,59,77.77,17.33,2.655,P10->P20->P27,24.1,0.739,0
N66,0.519,0.605,0.562,Sybil Attack,0.4,19,75.33,26.67,1.484,P9->P15->P29,6.72,0.877,0
N157,0.525,0.534,0.53,Normal,0.275,75,82.79,37.51,1.399,P10->P19->P26,54.27,0.592,0
N30,0.434,0.635,0.534,Sybil Attack,0.593,40,96.65,22.42,4.22,P2->P16->P24,44.39,0.893,1
N45,0.903,0.411,0.657,Normal,0.145,82,52.64,30.22,4.091,P2->P13->P22,38.66,0.354,0
N50,0.361,0.596,0.478,Normal,0.945,21,53.51,39.08,1.947,P3->P16->P29,7.13,0.348,0
N57,0.488,0.492,0.49,Normal,0.185,32,88.36,27.1,3.963,P9->P18->P26,20.27,0.519,0
N131,0.59,0.748,0.669,Sybil Attack,0.325,89,71.12,19.46,1.442,P3->P14->P22,3.34,0.744,0
N45,0.801,0.202,0.502,Normal,0.699,21,98.01,37.46,0.969,P7->P20->P26,6.76,0.661,0
N84,0.345,0.807,0.576,Normal,0.381,42,97.17,8.09,2.731,P2->P14->P28,14.03,0.709,0
N187,0.591,0.706,0.648,Sybil Attack,0.236,89,57.87,9.49,2.034,P6->P11->P26,36.62,0.217,0
N60,0.838,0.865,0.851,Normal,0.017,11,73.87,6.02,1.1,P3->P17->P28,29.92,0.235,0
N40,0.371,0.415,0.393,Normal,0.134,63,82.92,19.22,0.541,P2->P15->P29,41.59,0.552,0
N9,0.301,0.805,0.553,Sybil Attack,0.991,45,91.44,5.08,3.964,P6->P19->P30,29.95,0.67,1
N167,0.301,0.925,0.613,Normal,0.324,18,78.07,37.27,3.02,P6->P19->P26,31.87,0.076,0
N195,0.357,0.681,0.519,Normal,0.795,33,88.53,24.11,2.292,P1->P20->P24,52.02,0.2,0
N131,0.952,0.593,0.772,Sybil Attack,0.548,29,56.1,22.99,3.935,P1->P13->P23,12.92,0.911,1
N3,0.906,0.529,0.718,Normal,0.043,81,78.79,35.8,2.764,P5->P16->P26,11.89,0.866,0
N76,0.863,0.89,0.876,Normal,0.369,93,79.03,27.82,2.234,P4->P11->P27,8.19,0.675,0
N6,0.79,0.272,0.531,Normal,0.138,40,88.01,40.64,2.862,P10->P12->P24,19.11,0.377,0
N131,0.984,0.369,0.676,Normal,0.657,66,62.2,28.44,2.828,P2->P17->P24,38.86,0.962,0
N136,0.684,0.935,0.81,Sybil Attack,0.351,82,62.61,9,4.895,P7->P20->P26,55.95,0.661,0
N56,0.417,0.765,0.591,Sybil Attack,0.167,44,53.98,24.49,2.653,P1->P12->P28,36.02,0.311,0
N16,0.544,0.945,0.744,Normal,0.341,13,91.18,33.02,3.622,P3->P20->P25,59,0.495,0
N129,0.355,0.649,0.502,Normal,0.79,11,71.94,27.34,4.14,P3->P11->P25,6.11,0.371,0
N139,0.478,0.606,0.542,Sybil Attack,0.873,24,64.49,24.25,4.656,P8->P19->P21,44.85,0.267,1
N140,0.588,0.752,0.67,Sybil Attack,0.515,25,77.69,15.19,3.82,P2->P18->P26,27.84,0.965,1
N169,0.855,0.725,0.79,Normal,0.726,33,95.1,48.81,0.956,P5->P12->P28,51.04,0.42,0
N193,0.401,0.936,0.669,Sybil Attack,0.15,71,51.11,45.36,1.06,P4->P11->P30,42.1,0.605,0
N37,0.41,0.71,0.56,Sybil Attack,0.11,67,96.14,34.33,3.555,P10->P16->P30,8.14,0.458,0
N148,0.307,0.642,0.475,Sybil Attack,0.346,28,98.07,11.62,4.121,P1->P16->P21,8.72,0.601,0
N4,0.766,0.215,0.49,Normal,0.254,35,85.84,19.83,3,P1->P16->P29,23.77,0.633,0
N154,0.229,0.709,0.469,Normal,0.785,23,88.97,31.8,0.945,P9->P20->P23,48.45,0.679,0
N43,0.682,0.327,0.505,Sybil Attack,0.56,49,92.22,40.36,3.567,P8->P17->P29,57.49,0.596,1
N192,0.999,0.57,0.784,Normal,0.091,90,72.34,36.51,0.816,P3->P13->P21,9.6,0.184,0
N74,0.649,0.409,0.529,Sybil Attack,0.953,53,74.2,24.98,2.125,P6->P12->P22,27.58,0.634,1
N26,0.69,0.305,0.497,Sybil Attack,0.751,83,98.57,48.2,2.052,P5->P12->P22,7.04,0.847,1
N162,0.505,0.224,0.364,Normal,0.885,30,91.88,39.58,4.477,P5->P15->P21,42.26,0.709,0
N13,0.885,0.897,0.891,Normal,0.742,33,96.5,26.23,4.172,P6->P15->P27,24.14,0.039,0
N82,0.743,0.579,0.661,Normal,0.06,33,93.33,31.64,2.477,P4->P13->P27,13.31,0.523,0
N76,0.422,0.647,0.534,Sybil Attack,0.276,82,56.84,36.22,2.813,P10->P15->P28,22.46,0.925,0
N76,0.478,0.589,0.534,Sybil Attack,0.523,77,70.35,36.53,4.507,P1->P12->P21,4.83,0.015,1
N190,0.376,0.564,0.47,Sybil Attack,0.023,12,79.89,48.31,2.123,P7->P18->P21,57.2,0.984,0
N61,0.857,0.526,0.692,Normal,0.006,78,73.88,47.07,0.872,P5->P17->P28,18.98,0.723,0
N112,0.743,0.273,0.508,Normal,0.651,54,58.33,19.01,4.194,P1->P15->P25,47.38,0.914,0
N119,0.427,0.824,0.626,Normal,0.176,90,53.44,21.77,2.782,P1->P19->P27,22.69,0.325,0
N146,0.229,0.792,0.511,Normal,0.962,66,67.59,20.07,1.69,P7->P11->P28,9.23,0.971,0
N34,0.688,0.453,0.57,Normal,0.706,52,62.35,15.84,4.589,P6->P19->P27,47.9,0.944,0
N16,0.954,0.671,0.812,Sybil Attack,0.988,64,97.85,25.85,0.903,P10->P15->P29,12.48,0.509,1
N148,0.601,0.736,0.668,Sybil Attack,0.835,66,84.77,41.47,4.111,P8->P14->P30,4.09,0.029,1
N43,0.655,0.235,0.445,Sybil Attack,0.213,46,84.72,22.87,4.018,P10->P11->P22,50.16,0.375,0
N179,0.416,0.476,0.446,Normal,0.551,65,79.65,47.17,2.021,P3->P18->P29,39.22,0.783,0
N98,0.396,0.867,0.632,Normal,0.93,52,74.79,25.49,3.05,P5->P15->P26,1.49,0.781,0
N109,0.704,0.604,0.654,Sybil Attack,0.328,97,90.84,48.81,4.697,P9->P14->P23,39.31,0.071,0
N6,0.838,0.773,0.806,Normal,0.992,12,74.03,49.78,3.051,P8->P15->P27,2.73,0.506,0
N19,0.998,0.655,0.826,Sybil Attack,0.331,63,74.51,41.22,1.098,P3->P18->P29,43.83,0.484,0
N16,0.903,0.654,0.778,Sybil Attack,0.838,32,60.71,9.83,1.885,P10->P13->P21,55.99,0.008,1
N114,0.562,0.409,0.486,Sybil Attack,0.507,59,88.41,40.16,1.691,P5->P16->P29,12.58,0.408,1
N126,0.35,0.654,0.502,Normal,0.733,42,56.93,27.99,1.839,P6->P11->P24,57.36,0.984,0
N171,0.967,0.547,0.757,Normal,0.662,90,74.87,28.29,4.062,P1->P17->P30,33.41,0.458,0
N110,0.574,0.344,0.459,Sybil Attack,0.881,87,97.46,46.67,4.51,P1->P11->P30,9.89,0.729,1
N100,0.336,0.855,0.596,Sybil Attack,0.234,25,81.06,8.68,2.256,P2->P19->P28,6.38,0.752,0
N159,0.777,0.48,0.629,Normal,0.986,77,97.35,30.29,1.35,P1->P19->P22,27.61,0.14,0
N10,0.798,0.602,0.7,Normal,0.079,93,74.7,37.06,1.431,P6->P20->P25,39.67,0.675,0
N9,0.537,0.465,0.501,Sybil Attack,0.676,30,54.86,35.73,2.079,P7->P19->P23,38.5,0.702,1
N11,0.414,0.562,0.488,Sybil Attack,0.299,57,75.62,23.64,4.736,P6->P16->P27,42.53,0.804,0
N73,0.457,0.971,0.714,Sybil Attack,0.36,73,64.87,13.95,4.885,P7->P12->P23,39.64,0.547,0
N137,0.824,0.62,0.722,Normal,0.866,49,55.2,23.73,3.336,P5->P12->P21,57.45,0.643,0
N140,0.68,0.308,0.494,Normal,0.916,13,77.64,24.33,2.915,P3->P16->P21,45.58,0.194,0
N146,0.294,0.476,0.385,Normal,0.616,21,70.45,9.14,2.757,P6->P18->P29,35.2,0.113,0
N101,0.244,0.746,0.495,Sybil Attack,0.24,57,58.8,21.49,1.9,P7->P11->P22,15.85,0.72,0
N77,0.627,0.869,0.748,Sybil Attack,0.884,80,54.9,25.31,3.196,P1->P14->P23,20.14,0.217,1
N96,0.361,0.369,0.365,Sybil Attack,0.224,80,57.9,21.79,0.807,P3->P13->P30,53.69,0.886,0
N195,0.907,0.274,0.59,Normal,0.205,31,72.79,43.78,4.695,P8->P13->P24,43.28,0.583,0
N80,0.322,0.219,0.27,Normal,0.132,14,73.3,15.09,4.813,P3->P15->P25,27.1,0.213,0
N151,0.427,0.28,0.354,Normal,0.283,48,77.96,24.91,4.558,P10->P12->P30,57.42,0.325,0
N197,0.612,0.996,0.804,Normal,0.692,99,76.71,17.83,2.138,P4->P12->P23,2.84,0.196,0
N199,0.394,0.299,0.347,Normal,0.572,41,71.23,10.49,0.602,P8->P19->P21,26.35,0.634,0
N140,0.915,0.699,0.807,Normal,0.646,45,58.11,28.83,3.922,P10->P14->P23,32.65,0.008,0
N61,0.831,0.303,0.567,Normal,0.449,83,84.69,48.15,1.876,P9->P20->P22,38.32,0.227,0
N114,0.988,0.238,0.613,Normal,0.11,88,74.11,8.56,1.336,P6->P11->P21,49.88,0.863,0
N55,0.677,0.849,0.763,Sybil Attack,0.598,43,90.97,47.79,4.641,P5->P13->P30,42.91,0.947,1
N138,0.947,0.219,0.583,Sybil Attack,0.208,87,71.6,8.39,2.784,P1->P11->P25,48.26,0.671,0
N27,0.226,0.91,0.568,Sybil Attack,0.047,84,96.71,42.66,3.256,P10->P12->P28,35.9,0.461,0
N52,0.267,0.707,0.487,Normal,0.177,80,75.78,16.39,1.581,P10->P14->P23,0.16,0.863,0
N115,0.473,0.94,0.706,Sybil Attack,0.671,30,62.6,5.37,4.269,P3->P17->P21,53.41,0.552,1
N38,0.486,0.31,0.398,Normal,0.887,53,69.69,47.73,1.758,P3->P13->P28,33.36,0.61,0
N143,0.767,0.895,0.831,Normal,0.954,86,80.72,18.53,3.21,P1->P18->P23,46.08,0.545,0
N146,0.255,0.482,0.368,Sybil Attack,0.632,21,57.28,26.79,2.039,P7->P18->P23,7.09,0.337,1
N75,0.919,0.7,0.81,Sybil Attack,0.14,15,51.01,32.76,2.819,P10->P19->P23,4.82,0.358,0
N179,0.586,0.76,0.673,Sybil Attack,0.68,35,84.3,9.89,0.738,P9->P12->P25,27.51,0.955,1
N27,0.32,0.583,0.452,Sybil Attack,0.225,12,84.39,35.06,3.905,P6->P13->P21,59.92,0.316,0
N168,0.541,0.29,0.416,Normal,0.595,65,83.42,46.68,4.478,P2->P17->P30,28.18,0.14,0
N48,0.291,0.572,0.432,Normal,0.346,44,80.93,6.29,4.914,P4->P19->P29,3.78,0.323,0
N134,0.548,0.629,0.588,Normal,0.79,51,63.25,19.15,3.282,P7->P16->P22,46.4,0.235,0
N57,0.799,0.272,0.536,Sybil Attack,0.166,51,75.35,40.27,4.723,P5->P11->P25,15.76,0.822,0
N96,0.988,0.34,0.664,Sybil Attack,0.112,43,78.46,37.67,3.983,P6->P19->P27,0.6,0.822,0
N160,0.356,0.969,0.662,Sybil Attack,0.698,31,80.19,34.51,2.145,P2->P17->P22,46.11,0.478,1
N155,0.672,0.857,0.764,Sybil Attack,0.576,38,63.07,16.59,3.77,P7->P17->P24,45.97,0.776,1
N80,0.421,0.552,0.487,Normal,0.012,67,83.78,42.3,2.159,P6->P11->P22,28.48,0.036,0
N195,0.233,0.751,0.492,Normal,0.643,37,83.97,42.45,4.713,P5->P20->P30,22.47,0.59,0
N133,0.518,0.578,0.548,Normal,0.663,75,54.59,44.31,2.342,P2->P20->P30,17.95,0.421,0
N130,0.992,0.923,0.958,Sybil Attack,0.377,99,51.64,26.84,0.648,P1->P13->P30,20.44,0.079,0
N75,0.567,0.239,0.403,Sybil Attack,0.136,14,50.22,6.56,2.664,P7->P12->P21,6.15,0.953,0
N69,0.733,0.54,0.637,Normal,0.262,18,81.94,29.24,2.231,P1->P16->P30,44.22,0.717,0
N51,0.858,0.805,0.832,Sybil Attack,0.236,16,69.29,15.42,3.347,P6->P17->P28,23.2,0.68,0
N123,0.882,0.411,0.646,Normal,0.296,30,94.15,7.18,1.491,P7->P17->P30,47.83,0.328,0
N187,0.606,0.964,0.785,Normal,0.459,57,84.76,35.2,1.463,P1->P14->P29,11.53,0.356,0
N36,0.875,0.287,0.581,Sybil Attack,0.368,72,58.27,39.23,2.434,P5->P15->P26,6.61,0.64,0
N21,0.863,0.487,0.675,Normal,0.106,51,59.91,18.62,3.094,P10->P12->P22,53.08,0.436,0
N177,0.513,0.651,0.582,Normal,0.202,91,85.59,13.33,4.446,P4->P15->P30,25.26,0.344,0
N86,0.545,0.931,0.738,Normal,0.957,21,95.94,6.31,4.251,P6->P17->P22,28.38,0.571,0
N36,0.221,0.654,0.438,Normal,0.413,82,50.36,41.17,4.399,P10->P18->P30,30.43,0.397,0
N58,0.301,0.83,0.566,Sybil Attack,0.976,43,87.09,11.1,4.066,P4->P12->P21,9.9,0.715,1
N43,0.764,0.625,0.694,Normal,0.209,70,63.27,13.18,1.705,P6->P16->P24,45.92,0.586,0
N104,0.656,0.719,0.688,Sybil Attack,0.953,97,86.42,43.37,2.899,P5->P19->P22,27.4,0.54,1
N24,0.953,0.344,0.648,Sybil Attack,0.646,52,55.05,36.66,4.471,P1->P11->P21,18.37,0.559,1
N148,0.74,0.81,0.775,Sybil Attack,0.324,97,64.58,46.07,3.027,P6->P15->P30,56.69,0.25,0
N62,0.801,0.774,0.788,Normal,0.394,90,92.45,30.68,1.378,P8->P18->P24,48.1,0.075,0
N85,0.985,0.24,0.612,Sybil Attack,0.42,10,56.94,43.38,0.749,P6->P19->P23,58.23,0.389,0
N16,0.739,0.508,0.624,Normal,0.689,33,97.87,14.67,2.83,P6->P17->P23,31.55,0.762,0
N103,0.23,0.514,0.372,Normal,0.084,66,70.86,38.77,1.706,P10->P11->P21,28.46,0.943,0
N61,0.882,0.975,0.928,Normal,0.626,91,85.05,20.49,3.851,P8->P15->P26,8.88,0.568,0
N60,0.238,0.91,0.574,Normal,0.522,23,72.9,33.89,4.693,P2->P13->P25,27.66,0.164,0
N152,0.686,0.41,0.548,Normal,0.535,58,85.18,36.9,1.854,P9->P12->P23,54.65,0.111,0
N125,0.798,0.947,0.872,Sybil Attack,0.12,88,83.88,41.65,2.065,P5->P16->P24,38.06,0.496,0
N175,0.999,0.625,0.812,Normal,0.467,29,88.48,10.13,2.705,P10->P17->P22,21.64,0.607,0
N194,0.34,0.783,0.562,Sybil Attack,0.757,35,84.83,22.72,2.286,P7->P17->P22,55.82,0.344,1
N191,0.911,0.973,0.942,Sybil Attack,0.302,95,98.89,26.84,4.135,P7->P17->P23,2.88,0.687,0
N181,0.607,0.648,0.628,Normal,0.952,56,78.46,13.79,0.73,P10->P12->P22,51.83,0.824,0
N144,0.739,0.949,0.844,Sybil Attack,0.293,25,85.57,37.05,1.17,P7->P15->P30,0.94,0.679,0
N133,0.746,0.725,0.736,Sybil Attack,0.78,91,90.05,48.85,3.607,P4->P19->P25,48.03,0.713,1
N15,0.459,0.767,0.613,Normal,0.432,13,59.35,10.78,3.945,P4->P14->P30,1.88,0.688,0
N190,0.43,0.513,0.472,Normal,0.06,28,95.36,13.84,2.18,P4->P19->P21,10.08,0.421,0
N24,0.709,0.84,0.774,Sybil Attack,0.405,13,86.76,5.06,2.407,P10->P18->P23,50.68,0.082,0
N160,0.665,0.99,0.828,Normal,0.799,68,97.4,5.35,1.152,P2->P13->P24,54.93,0.542,0
N90,0.476,0.537,0.506,Normal,0.848,48,85.23,41.55,2.19,P4->P16->P25,28.21,0.979,0
N23,0.464,0.561,0.513,Normal,0.421,14,51.5,11.15,0.505,P7->P20->P27,34.37,0.355,0
N137,0.889,0.397,0.643,Normal,0.776,19,63.05,22.78,2.854,P6->P13->P27,40.25,0.61,0
N111,0.352,0.466,0.409,Sybil Attack,0.89,10,50.62,27.99,3.767,P8->P19->P30,3.12,0.826,1
N36,0.645,0.968,0.806,Sybil Attack,0.329,21,72.31,16.1,1.302,P4->P18->P28,55.02,0.866,0
N41,0.541,0.859,0.7,Sybil Attack,0.002,84,67.39,17.63,2.888,P10->P17->P28,45.15,0.309,0
N32,0.593,0.397,0.495,Sybil Attack,0.399,20,78.5,46.96,1.472,P1->P11->P21,16.38,0.556,0
N191,0.438,0.529,0.484,Sybil Attack,0.132,39,85.36,19.11,2.3,P8->P11->P23,50.08,0.37,0
N125,0.287,0.914,0.6,Sybil Attack,0.789,92,92.5,23.62,4.521,P10->P15->P23,54.82,0.97,1
N186,0.698,0.664,0.681,Normal,0.881,57,78.34,37.86,0.642,P2->P14->P27,45.83,0.345,0
N25,0.421,0.621,0.521,Sybil Attack,0.614,24,91.85,47.08,3.968,P4->P16->P21,54.09,0.999,1
N178,0.46,0.512,0.486,Normal,0.391,58,96.75,35.97,0.539,P8->P13->P28,24.89,0.456,0
N123,0.471,0.949,0.71,Sybil Attack,0.627,87,87.71,48.53,1.862,P4->P16->P25,18.12,0.442,1
N144,0.902,0.597,0.75,Sybil Attack,0.098,81,90.78,36.26,4.165,P1->P15->P23,27.96,0.817,0
N19,0.623,0.215,0.419,Normal,0.86,71,92,12.77,3.854,P1->P11->P21,44.69,0.467,0
N94,0.666,1,0.833,Normal,0.081,51,93.77,17.88,4.756,P9->P12->P27,4.71,0.549,0
N105,0.638,0.504,0.571,Sybil Attack,0.419,98,98.71,35.04,4.718,P8->P20->P21,12.05,0.214,0
N69,0.478,0.658,0.568,Sybil Attack,0.226,70,94.73,5.35,0.921,P2->P12->P25,32.47,0.517,0
N194,0.723,0.443,0.583,Normal,0.799,20,64.65,20.92,1.669,P8->P11->P22,3.51,0.465,0
N43,0.833,0.905,0.869,Sybil Attack,0.71,58,99.58,11.48,4.991,P9->P19->P22,56.4,0.848,1
N13,0.958,0.809,0.884,Sybil Attack,0.884,68,98.74,48.22,2.105,P7->P19->P28,29.33,0.785,1
N185,0.335,0.825,0.58,Normal,0.641,91,65.2,23.33,4.231,P3->P11->P27,52.27,0.115,0
N32,0.277,0.579,0.428,Sybil Attack,0.173,16,59.54,31.73,0.638,P1->P18->P23,18.87,0.719,0
N171,0.899,0.284,0.592,Normal,0.013,86,56.88,10,3.871,P4->P17->P21,30.1,0.539,0
N123,0.51,0.516,0.513,Normal,0.144,82,82.32,49.51,4.5,P3->P18->P21,0.74,0.313,0
N191,0.385,0.578,0.482,Sybil Attack,0.66,27,61.84,41.27,4.653,P8->P15->P21,36.24,0.129,1
N75,0.772,0.474,0.623,Normal,0.654,94,83.94,30.68,2.257,P2->P11->P21,43.75,0.883,0
N195,0.212,0.614,0.413,Normal,0.97,85,81.86,11.27,4.985,P4->P14->P26,46.69,0.07,0
N109,0.403,0.467,0.435,Normal,0.918,63,74.01,37.92,2.753,P8->P15->P29,3.2,0.103,0
N134,0.669,0.74,0.704,Sybil Attack,0.547,44,54.89,38.15,4.87,P3->P11->P27,16.77,0.839,1
